ticket_id,routing,error,triage_time_s,resolve_time_s,llm_time_s,tool_time_s,total_time_s,num_llm_calls,num_tool_calls,search_knowledge_base_time_s,get_system_spec_time_s,search_faq_time_s
INC-00162,L1_GUIDED,,0.756,6.329,3.361,3.723,7.084,4,6,2.677,0.0,1.045
INC-00282,L2_ESCALATION,,0.46,0.0,0.46,0.0,0.46,1,0,0.0,0.0,0.0
INC-00008,L1_GUIDED,,0.752,7.695,3.503,4.944,8.447,4,6,3.493,0.001,1.45
INC-00060,L1_GUIDED,,0.655,7.198,4.22,3.633,7.852,3,5,2.562,0.001,1.07
INC-00007,L2_ESCALATION,,0.653,0.0,0.653,0.0,0.653,1,0,0.0,0.0,0.0
INC-00090,L2_ESCALATION,,0.901,0.0,0.901,0.0,0.901,1,0,0.0,0.0,0.0
INC-00119,L2_ESCALATION,,0.457,0.0,0.457,0.0,0.457,1,0,0.0,0.0,0.0
INC-00085,L2_ESCALATION,,0.576,0.0,0.576,0.0,0.576,1,0,0.0,0.0,0.0
INC-00024,L1_GUIDED,,0.48,5.967,2.999,3.448,6.447,3,5,2.182,0.0,1.266
INC-00019,L2_ESCALATION,,0.529,0.0,0.529,0.0,0.529,1,0,0.0,0.0,0.0
INC-00121,L1_GUIDED,,0.508,4.736,2.331,2.913,5.244,3,5,1.865,0.0,1.047
INC-00120,L2_ESCALATION,,0.719,0.0,0.719,0.0,0.719,1,0,0.0,0.0,0.0
INC-00004,L1_GUIDED,,0.581,4.617,2.403,2.795,5.198,3,5,1.586,0.001,1.208
INC-00202,L1_GUIDED,,0.484,7.521,3.489,4.516,8.004,5,7,3.519,0.0,0.996
INC-00057,L2_ESCALATION,,0.717,0.0,0.717,0.0,0.717,1,0,0.0,0.0,0.0
INC-00064,L1_GUIDED,,0.593,7.278,3.924,3.946,7.871,4,6,2.9,0.001,1.046
INC-00015,L1_GUIDED,,0.577,6.668,3.554,3.691,7.245,4,6,2.751,0.0,0.939
INC-00087,L2_ESCALATION,,0.991,0.0,0.991,0.0,0.991,1,0,0.0,0.0,0.0
INC-00107,L1_GUIDED,,0.657,5.506,2.986,3.177,6.163,4,6,2.217,0.0,0.959
INC-00097,L1_GUIDED,,0.667,4.079,2.335,2.41,4.745,3,5,1.469,0.001,0.94
INC-00204,L1_GUIDED,,0.613,6.431,3.863,3.18,7.044,4,6,2.201,0.0,0.979
INC-00030,L1_GUIDED,,0.533,5.263,2.541,3.254,5.796,3,5,2.201,0.001,1.052
INC-00073,L2_ESCALATION,,0.535,0.0,0.535,0.0,0.535,1,0,0.0,0.0,0.0
INC-00095,L2_ESCALATION,,0.722,0.0,0.722,0.0,0.722,1,0,0.0,0.0,0.0
INC-00308,L1_GUIDED,,0.666,9.283,5.977,3.972,9.949,5,7,2.989,0.0,0.982
INC-00216,L1_GUIDED,,0.592,5.144,2.454,3.283,5.737,4,6,2.293,0.0,0.989
INC-00229,L2_ESCALATION,,0.487,0.0,0.487,0.0,0.487,1,0,0.0,0.0,0.0
INC-00083,L1_GUIDED,,1.114,4.896,2.941,3.069,6.01,3,5,2.108,0.0,0.961
INC-00001,L2_ESCALATION,,0.678,0.0,0.678,0.0,0.678,1,0,0.0,0.0,0.0
INC-00063,L1_GUIDED,,0.568,7.359,4.258,3.668,7.926,4,6,2.639,0.0,1.028
INC-00129,L2_ESCALATION,,0.617,0.0,0.617,0.0,0.617,1,0,0.0,0.0,0.0
INC-00082,L2_ESCALATION,,0.727,0.0,0.727,0.0,0.727,1,0,0.0,0.0,0.0
INC-00241,L2_ESCALATION,,0.979,0.0,0.979,0.0,0.979,1,0,0.0,0.0,0.0
INC-00223,L2_ESCALATION,,0.837,0.0,0.837,0.0,0.837,1,0,0.0,0.0,0.0
INC-00181,L2_ESCALATION,,0.742,0.0,0.742,0.0,0.742,1,0,0.0,0.0,0.0
INC-00277,L2_ESCALATION,,0.909,0.0,0.909,0.0,0.909,1,0,0.0,0.0,0.0
INC-00116,L1_GUIDED,,0.555,4.498,2.571,2.482,5.053,3,5,1.497,0.0,0.985
INC-00286,L2_ESCALATION,,0.658,0.0,0.658,0.0,0.658,1,0,0.0,0.0,0.0
INC-00191,L1_GUIDED,,0.622,9.276,3.373,6.524,9.898,6,8,5.576,0.0,0.948
