run_id,timestamp,eval_type,reranker_enabled,tickets_evaluated,routing_total,routing_correct,routing_accuracy,retrieval_total,retrieval_hit_rate,retrieval_recall_avg,errors
retrieval_ablation_rerank_20260726_100208,20260726_100208,retrieval_ablation,True,220,,,,220,0.9772727272727273,0.33001082251082253,0
retrieval_ablation_norerank_20260726_100208,20260726_100208,retrieval_ablation,False,220,,,,220,0.95,0.31629329004329,0
agent_eval_rerank_20260726_101824,20260726_101824,agent_eval,True,220,220,189,0.8590909090909091,64,0.96875,0.4236235119047619,0
agent_eval_rerank_20260726_105146,20260726_105146,agent_eval,True,220,220,186,0.8454545454545455,83,1.0,0.6056511761331038,0
agent_eval_rerank_20260726_111011,20260726_111011,agent_eval,True,220,220,200,0.9090909090909091,73,0.9863013698630136,0.6234018264840182,0
agent_eval_rerank_20260726_111327,20260726_111327,agent_eval,True,20,20,20,1.0,11,0.9090909090909091,0.4201298701298701,0
agent_eval_rerank_20260726_120611,20260726_120611,agent_eval,True,220,220,198,0.9,73,0.9863013698630136,0.5799739073711676,0
agent_eval_rerank_20260726_123225,20260726_123225,agent_eval,True,10,10,5,0.5,2,1.0,0.5,0
agent_eval_rerank_20260726_124431,20260726_124431,agent_eval,True,256,256,129,0.50390625,68,0.9852941176470589,0.5968487394957983,0
agent_eval_rerank_20260726_132546,20260726_132546,agent_eval,True,256,256,170,0.6640625,132,0.9393939393939394,0.5263077200577201,0
agent_eval_rerank_20260726_135905,20260726_135905,agent_eval,True,256,256,202,0.7890625,116,0.9913793103448276,0.5685139573070607,0
agent_eval_rerank_20260726_152012,20260726_152012,agent_eval,True,256,256,256,1.0,166,0.9939759036144579,0.5545180722891566,0
agent_eval_reasoning_only_rerank_20260726_154121,20260726_154121,agent_eval_reasoning_only,True,256,256,148,0.578125,137,0.9854014598540146,0.5298488008342023,0
agent_eval_reasoning_only_rerank_20260726_163630,20260726_163630,agent_eval_reasoning_only,True,256,256,147,0.57421875,135,0.9925925925925926,0.4865343915343915,0
agent_eval_rerank_20260726_170649,20260726_170649,agent_eval,True,101,101,101,1.0,70,0.9857142857142858,0.4408843537414966,0
retrieval_ablation_rerank_20260726_170928,20260726_170928,retrieval_ablation,True,220,,,,220,0.9772727272727273,0.33001082251082253,0
retrieval_ablation_norerank_20260726_170928,20260726_170928,retrieval_ablation,False,220,,,,220,0.95,0.31629329004329,0
agent_eval_rerank_20260726_172346,20260726_172346,agent_eval,True,10,10,10,1.0,5,1.0,0.38,0
agent_eval_rerank_20260726_173736,20260726_173736,agent_eval,True,256,15,15,1.0,9,1.0,0.4444444444444444,241
agent_eval_reasoning_only_rerank_20260726_174042,20260726_174042,agent_eval_reasoning_only,True,256,61,46,0.7540983606557377,44,1.0,0.44637445887445887,196
agent_eval_reasoning_only_rerank_20260726_175330,20260726_175330,agent_eval_reasoning_only,True,256,256,178,0.6953125,192,0.9791666666666666,0.4659908234126984,0
agent_eval_reasoning_only_rerank_20260726_183934,20260726_183934,agent_eval_reasoning_only,True,256,131,88,0.6717557251908397,97,1.0,0.6606529209621993,126
agent_eval_rerank_20260726_184424,20260726_184424,agent_eval,True,20,20,20,1.0,12,1.0,0.6176587301587302,0
agent_eval_reasoning_only_rerank_20260726_185401,20260726_185401,agent_eval_reasoning_only,True,256,256,175,0.68359375,199,0.9949748743718593,0.6493419478344101,0
agent_eval_rerank_20260726_185828,20260726_185828,agent_eval,True,20,20,20,1.0,12,1.0,0.6176587301587302,0
agent_eval_reasoning_only_rerank_20260726_190407,20260726_190407,agent_eval_reasoning_only,True,20,20,13,0.65,14,1.0,0.6484693877551021,0
agent_eval_reasoning_only_rerank_20260726_190957,20260726_190957,agent_eval_reasoning_only,True,20,20,15,0.75,16,1.0,0.6611607142857143,0
agent_eval_rerank_20260726_191102,20260726_191102,agent_eval,True,20,20,20,1.0,12,1.0,0.6176587301587302,0
agent_eval_reasoning_only_rerank_20260726_192602,20260726_192602,agent_eval_reasoning_only,True,3,3,3,1.0,2,1.0,0.575,0
agent_eval_reasoning_only_rerank_20260726_192855,20260726_192855,agent_eval_reasoning_only,True,20,20,15,0.75,16,1.0,0.6611607142857143,0
agent_eval_reasoning_only_rerank_20260726_193317,20260726_193317,agent_eval_reasoning_only,True,5,5,4,0.8,4,1.0,0.5125,0
agent_eval_reasoning_only_rerank_20260726_194117,20260726_194117,agent_eval_reasoning_only,True,3,3,3,1.0,2,1.0,0.575,0
agent_eval_reasoning_only_rerank_20260726_195604,20260726_195604,agent_eval_reasoning_only,True,12,12,9,0.75,8,1.0,0.5979166666666667,0
agent_eval_reasoning_only_rerank_20260726_195929,20260726_195929,agent_eval_reasoning_only,True,60,60,47,0.7833333333333333,45,1.0,0.6483333333333333,0
agent_eval_reasoning_only_rerank_20260726_200433,20260726_200433,agent_eval_reasoning_only,True,60,60,44,0.7333333333333333,43,1.0,0.6482558139534884,0
agent_eval_reasoning_only_rerank_20260726_202946,20260726_202946,agent_eval_reasoning_only,True,40,40,31,0.775,31,1.0,0.64857910906298,0
agent_eval_reasoning_only_rerank_20260726_204818,20260726_204818,agent_eval_reasoning_only,True,256,239,165,0.6903765690376569,187,0.9946524064171123,0.6519480519480519,17
agent_eval_reasoning_only_rerank_20260726_210023,20260726_210023,agent_eval_reasoning_only,True,40,40,32,0.8,31,1.0,0.6598694316436252,0
agent_eval_reasoning_only_rerank_20260726_214723,20260726_214723,agent_eval_reasoning_only,True,40,40,31,0.775,33,1.0,0.6352813852813853,0
agent_eval_reasoning_only_rerank_20260726_215304,20260726_215304,agent_eval_reasoning_only,True,256,115,83,0.7217391304347827,91,1.0,0.6436682365253794,141
agent_eval_reasoning_only_rerank_20260726_220932,20260726_220932,agent_eval_reasoning_only,True,20,20,13,0.65,15,1.0,0.6719047619047619,0
agent_eval_reasoning_only_rerank_20260726_221052,20260726_221052,agent_eval_reasoning_only,True,20,20,15,0.75,16,1.0,0.6819940476190476,0
agent_eval_reasoning_only_rerank_20260726_223255,20260726_223255,agent_eval_reasoning_only,True,12,8,3,0.375,8,1.0,0.5979166666666667,0
agent_eval_reasoning_only_rerank_20260726_223704,20260726_223704,agent_eval_reasoning_only,True,40,34,14,0.4117647058823529,32,1.0,0.6554315476190476,0
agent_eval_reasoning_only_rerank_20260726_223913,20260726_223913,agent_eval_reasoning_only,True,40,34,27,0.7941176470588235,7,1.0,0.7285714285714285,0
agent_eval_reasoning_only_rerank_20260726_224542,20260726_224542,agent_eval_reasoning_only,True,256,220,170,0.7727272727272727,33,1.0,0.7965367965367965,0
agent_eval_reasoning_only_rerank_20260726_225016,20260726_225016,agent_eval_reasoning_only,True,60,51,42,0.8235294117647058,28,1.0,0.6686224489795919,0
agent_eval_reasoning_only_rerank_20260726_225950,20260726_225950,agent_eval_reasoning_only,True,256,220,170,0.7727272727272727,109,1.0,0.6897335080821319,0
agent_eval_reasoning_only_rerank_20260726_230933,20260726_230933,agent_eval_reasoning_only,True,256,220,174,0.7909090909090909,99,1.0,0.6737373737373737,0
agent_eval_reasoning_only_rerank_20260726_235047,20260726_235047,agent_eval_reasoning_only,True,20,16,12,0.75,9,1.0,0.6981481481481482,0
agent_eval_reasoning_only_rerank_20260727_000351,20260727_000351,agent_eval_reasoning_only,True,256,220,175,0.7954545454545454,106,1.0,0.67785265049416,0
agent_eval_reasoning_only_rerank_20260727_005234,20260727_005234,agent_eval_reasoning_only,True,256,220,195,0.8863636363636364,76,1.0,0.7343984962406015,0
agent_eval_reasoning_only_rerank_20260727_010517,20260727_010517,agent_eval_reasoning_only,True,20,16,15,0.9375,6,1.0,0.7805555555555556,0
